City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,constantia,44.1833,28.65,54.7,78,8,13.8,RO,1683336643
324,naze,28.3667,129.4833,76.12,86,100,15.46,JP,1683336643
325,kudahuvadhoo,2.6708,72.8944,83.82,74,100,17.87,MV,1683336644
326,ianca,45.1333,27.45,53.06,80,12,13.04,RO,1683336644
327,kavieng,-2.5744,150.7967,85.21,69,99,8.97,PG,1683336645
328,rikaze,29.25,88.8833,46.06,35,0,1.59,CN,1683336645
329,pascagoula,30.3658,-88.5561,69.84,96,40,5.75,US,1683336367
330,parauna,-16.9478,-50.4486,69.22,72,0,2.84,BR,1683336646
331,cruzeiro,-22.5761,-44.9628,65.61,98,37,0.45,BR,1683336647
332,sao luiz gonzaga,-28.4083,-54.9608,66.45,98,100,1.41,BR,1683336647
333,itoman,26.1247,127.6694,81.37,78,75,21.85,JP,1683336648
334,kalemie,-5.9475,29.1947,68.99,89,63,1.77,CD,1683336648
335,la passe,45.5549,-0.8967,55.63,87,96,8.28,FR,1683336648
336,mocimboa,-11.3167,40.35,71.26,88,0,6.22,MZ,1683336649
337,karachi,24.9056,67.0822,78.62,83,0,8.05,PK,1683336615
338,kolwezi,-10.7148,25.4667,54.66,86,11,4.47,CD,1683336650
339,saint croix,17.7397,-64.7388,77.45,82,0,3.44,VI,1683336650
340,luorong,24.4058,109.6086,86.76,69,50,10.13,CN,1683336651
341,jose pedro varela,-33.45,-54.5333,60.96,97,100,13.31,UY,1683336651
342,asaita,11.5636,41.4394,85.59,57,22,1.01,ET,1683336651
343,itaituba,-4.2761,-55.9836,74.07,99,78,1.68,BR,1683336652
344,innoshima,34.2833,133.1833,71.37,85,99,3.53,JP,1683336652
345,port blair,11.6667,92.75,84.85,71,100,5.12,IN,1683336653
346,geraldton,-28.7667,114.6,63.01,82,75,23.02,AU,1683336653
347,comodoro rivadavia,-45.8667,-67.5,66.06,42,0,11.5,AR,1683336654
348,lai chau,22.3997,103.4517,86.65,43,4,4.45,VN,1683336654
349,akobo,7.4344,3.9497,72.27,93,55,2.89,NG,1683336654
350,yamada,39.4667,141.95,62.31,83,100,8.63,JP,1683336655
351,soe,-9.8607,124.284,76.98,67,44,5.95,ID,1683336655
352,sen monorom,12.45,107.2,86.36,52,100,4.47,KH,1683336656
353,martapura,-3.4167,114.85,86.09,79,20,5.75,ID,1683336656
354,murrells inlet,33.551,-79.0414,67.05,71,0,3.44,US,1683336361
355,napili-honokowai,20.9708,-156.6705,79.72,90,100,23.09,US,1683336657
356,hasaki,35.7333,140.8333,78.22,64,17,33.93,JP,1683336657
357,san antonio de pale,-1.4014,5.6325,81.97,79,28,10.58,GQ,1683336658
358,kunyang,27.6658,120.5658,68.72,95,100,3.44,CN,1683336658
359,letlhakeng,-24.0944,25.0298,67.75,39,8,7.34,BW,1683336659
360,dolbeau-mistassini,48.8763,-72.212,57.85,76,100,6.11,CA,1683336659
361,portland,45.5234,-122.6762,58.55,77,100,5.99,US,1683336448
362,genhe,50.7833,121.5167,54.0,23,9,4.12,CN,1683336660
